run_id,family_code,family_group,model,status_canonico,L_total_Radar,estado_familia_vigente,constructo_run,rol_funcional_familia,justificacion_breve
E3_v1_clean,E3,arboles_boosting,random_forest_regressor,canonico_completo,0.2808923211670988,cerrada en rama base,baseline no lineal bagging,referencia no lineal base,Primera apertura no lineal util de bagging; demuestra que la no linealidad si agrega senal.
E3_v2_clean,E3,arboles_boosting,random_forest_regressor,canonico_completo,0.2663866980744075,cerrada en rama base,campeon bagging vigente,referencia no lineal base,Mejor referencia bagging cerrada; sigue aportando diversidad real frente a lineales y boosting.
E3_v3_clean,E3,arboles_boosting,extra_trees_regressor,canonico_completo,0.2872893466271498,cerrada en rama base,variante extra trees descartada,referencia no lineal base,Prueba de flexibilidad adicional que no justifico expansion dentro de E3.
E4_v1_clean,E4,arboles_boosting,xgboost_regressor,canonico_completo,0.2839341113264429,cerrada,campeon boosting historico,boosting historico,"Mejor run interno de XGBoost; se conserva como referencia secundaria, no como linea vigente."
E4_v2_clean,E4,arboles_boosting,xgboost_regressor,canonico_completo,0.2973425926212152,cerrada,variante parsimoniosa descartada,boosting historico,Control corr vs all dentro de boosting; no mejoro al baseline de la familia.
E4_v3_clean,E4,arboles_boosting,xgboost_regressor,canonico_completo,0.4247743104980723,cerrada,variante delta descartada,boosting historico,Control target delta dentro de boosting; deterioro fuerte que ayudo a cerrar E4.
E5_v1_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2552591894544091,abierta madura,baseline catboost,mejor no lineal tabular,Primera apertura de CatBoost bajo el marco limpio; punto de partida de la familia tabular dominante.
E5_v2_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2618185352281958,abierta madura,control corr_vs_all catboost,mejor no lineal tabular,Prueba focal del universo exogeno en CatBoost; quedo dominada por E5_v4.
E5_v3_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2613186266534276,abierta madura,control de profundidad catboost,mejor no lineal tabular,Ajuste acotado de complejidad en CatBoost; no mejoro al campeon interno.
E5_v4_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2477879377205662,abierta madura,campeon no lineal tabular vigente,mejor no lineal tabular,Mejor run no lineal tabular del proyecto y referencia competitiva central.
E5_v5_clean,E5,arboles_boosting,catboost_regressor,canonico_completo,0.2644266343784683,abierta madura,tuning focal dominado,mejor no lineal tabular,"Segunda ola de tuning acotado; util para cierre interno, pero superada por E5_v4."
E6_v1_clean,E6,series_tiempo_exogenas,sarimax_regressor,canonico_completo,0.3703183972542414,debilitada,campeon interno debilitado,referencia temporal estructurada debil,"Mejor ARIMAX interno, aunque claramente no competitivo; conserva valor solo como referencia temporal debil."
E6_v2_clean,E6,series_tiempo_exogenas,sarimax_regressor,canonico_completo,0.4457690443532661,debilitada,control amplitud exogena descartado,referencia temporal estructurada debil,Prueba de amplitud exogena en ARIMAX; empeoro y debilito aun mas a la familia.
E7_v1_clean,E7,series_tiempo_exogenas,prophet_exogenous_regressor,canonico_completo,0.3255019750760202,intermedia,baseline temporal parsimonioso,referencia temporal con changepoints,Apertura limpia de Prophet con exogenas parsimoniosas; prueba que la familia mejora a E6.
E7_v2_clean,E7,series_tiempo_exogenas,prophet_exogenous_regressor,canonico_completo,0.6819919935137326,intermedia,variante all colapsada,referencia temporal con changepoints,Control de amplitud exogena en Prophet; colapso numerico que refuerza la parsimonia.
E7_v3_clean,E7,series_tiempo_exogenas,prophet_exogenous_regressor,canonico_completo,0.321327838487649,intermedia,campeon temporal secundario,referencia temporal con changepoints,Mejor Prophet interno; aporta sesgo temporal estructurado sin entrar al bloque principal.
E8_v1_clean,E8,hibrido_residual,hybrid_residual_ridge_tscv_catboost_regressor,canonico_completo,0.3364815593128823,intermedia,hibrido residual inicial,hibrido residual auditable,"Primera apertura residual limpia; valida la arquitectura, pero no la vuelve competitiva."
E8_v2_clean,E8,hibrido_residual,hybrid_residual_catboost_regressor_ridge_tscv,canonico_completo,0.2857208904369485,intermedia,campeon hibrido residual,hibrido residual auditable,"Mejor residual interno y referencia de la familia hibrida, aunque no supera a sus mejores bases."
E8_v3_clean,E8,hibrido_residual,hybrid_residual_catboost_regressor_prophet_exogenous_regressor,canonico_completo,0.6277552922651639,intermedia,variante prophet residual colapsada,hibrido residual auditable,Prueba temporal residual sobre CatBoost que no funciono y cerro esa direccion.
E9_smoke_tmp,E9,stacking_controlado,stacking_ridge_curado_por_horizonte,canonico_parcial,0.07934166609971609,pausada util,smoke tecnico no canonico,referente riesgo-direccion-caidas,Corrida tecnica de integracion para E9; no debe leerse como evidencia comparativa final.
E9_v1_clean,E9,stacking_controlado,stacking_ridge_curado_por_horizonte,canonico_completo,0.2684745612625059,pausada util,baseline stacking clasico ridge,referente riesgo-direccion-caidas,Primera corrida operativa de stacking controlado; deja una mejora parcial localizada pero no gana el global.
E9_v2_clean,E9,stacking_controlado,stacking_huber_curado_por_horizonte,canonico_completo,0.2275096201736237,pausada util,campeon riesgo-direccion-caidas,referente riesgo-direccion-caidas,"Mejor referente actual de riesgo, direccion y deteccion de caidas dentro del Radar."
